"Country/Region/World","ISO","Sex","Year","Crude diabetes prevalence","Lower 95% uncertainty interval","Upper 95% uncertainty interval"
"World",NA,"Men",1980,0.0358231515570479,0.01985532488649,0.0593608833244633
"World",NA,"Men",1981,0.0364433040827993,0.0208509284816144,0.058906937157707
"World",NA,"Men",1982,0.0371098356604138,0.02192594794247,0.058944182507445
"World",NA,"Men",1983,0.0378344867119511,0.0230515999299432,0.0585081393910813
"World",NA,"Men",1984,0.0386266989041381,0.0242099222007048,0.0585354613550282
"World",NA,"Men",1985,0.0394915065076145,0.0254932159666817,0.0586226046008019
"World",NA,"Men",1986,0.0404137464459753,0.0267161445622922,0.0585793657670049
"World",NA,"Men",1987,0.041393824904633,0.0281370781496759,0.0587538911411741
"World",NA,"Men",1988,0.0424333876668075,0.029447378360324,0.0590558389563142
"World",NA,"Men",1989,0.0435263123698717,0.0308451225523765,0.0596866266179052
"World",NA,"Men",1990,0.0446592085429428,0.0321651252915205,0.0603044087650849
"World",NA,"Men",1991,0.0458272478686979,0.0337503167711146,0.0606462981326757
"World",NA,"Men",1992,0.0470578893497857,0.0353979919347454,0.0612429547086221
"World",NA,"Men",1993,0.0483554529623299,0.0370500313755209,0.0618042523735739
"World",NA,"Men",1994,0.0497114009864819,0.0387003757602067,0.0626517153050012
"World",NA,"Men",1995,0.0511285020127816,0.0404058779902343,0.0635964488520195
"World",NA,"Men",1996,0.0526194152157338,0.0422062628595792,0.0646595446454135
"World",NA,"Men",1997,0.0541692340459872,0.0440529933587085,0.0658105131344386
"World",NA,"Men",1998,0.055787503992406,0.0460473355070872,0.0668891639153383
"World",NA,"Men",1999,0.0574581276267009,0.0479699516651086,0.0680338802032205
"World",NA,"Men",2000,0.0591898373690624,0.0499240031739757,0.0694066082883261
"World",NA,"Men",2001,0.0609716439922994,0.051953050752153,0.0707652671638087
"World",NA,"Men",2002,0.0627934706715265,0.0539339707516095,0.0723456853998726
"World",NA,"Men",2003,0.06466089089821,0.0559248531645124,0.0740418966225013
"World",NA,"Men",2004,0.0665778768024365,0.0579258977886614,0.0761277152773652
"World",NA,"Men",2005,0.0685312812189317,0.0598569586991485,0.0781416395734741
"World",NA,"Men",2006,0.0705039878088821,0.0615943797831022,0.0803847189206242
"World",NA,"Men",2007,0.072491882669219,0.0633554895572579,0.0828343006594509
"World",NA,"Men",2008,0.0744911047652413,0.0646879118770809,0.0855547744144843
"World",NA,"Men",2009,0.07649439351029,0.0657478961811101,0.0886326869706287
"World",NA,"Men",2010,0.0785693401100432,0.0668405779314764,0.0918835267403374
"World",NA,"Men",2011,0.0807069769190247,0.0677518335023827,0.0952943747475782
"World",NA,"Men",2012,0.0829224963227408,0.0685925547304078,0.0994355863436031
"World",NA,"Men",2013,0.085210064005761,0.0694233870238356,0.103677287846181
"World",NA,"Men",2014,0.0875847128583318,0.0699163102150245,0.108247978921813
"World",NA,"Women",1980,0.046780705519945,0.0273680267445657,0.0738931456209961
"World",NA,"Women",1981,0.0471004097798202,0.0283910658244418,0.0726716294404006
"World",NA,"Women",1982,0.0474677895980524,0.0294876401816239,0.0715012977463111
"World",NA,"Women",1983,0.0478940451623898,0.030426576499735,0.071058520528669
"World",NA,"Women",1984,0.0483879572504942,0.0316039905851865,0.0703698057904782
"World",NA,"Women",1985,0.0489419374550703,0.0326506710661642,0.0696257408753185
"World",NA,"Women",1986,0.0495456514788675,0.0337232400719331,0.0689728294009633
"World",NA,"Women",1987,0.0501947474672967,0.0349006420085168,0.0684197806234842
"World",NA,"Women",1988,0.0508890991373226,0.0362348772547519,0.0683619358174131
"World",NA,"Women",1989,0.0516225875289372,0.0375320402457541,0.0681633739038377
"World",NA,"Women",1990,0.0523772576850092,0.038783759535689,0.0679505452822948
"World",NA,"Women",1991,0.053147531397338,0.0400872500009515,0.0680088707917898
"World",NA,"Women",1992,0.0539556358354964,0.0414660955050685,0.0680879042217897
"World",NA,"Women",1993,0.0548056468573075,0.0429135280099893,0.0681769830397657
"World",NA,"Women",1994,0.0556976504469288,0.0443243843680053,0.0684690573567518
